Location,Job_Listing
Los Angeles County,"MAINTENANCE WORKER, DEPARTMENT OF THE CALIF. HIGHWAY PATROL"
Sacramento County,MATERIALS AND RESEARCH ENGINEERING ASSOCIATE (SPECIALIST)
San Luis Obispo County,MEDICAL ASSISTANT
Lassen County,MOTOR VEHICLE REPRESENTATIVE
San Luis Obispo County,NURSE PRACTITIONER (SAFETY)
Mariposa County,OFFICE SERVICES SUPERVISOR I (TYPING)                    
Yolo County,OFFICE TECHNICIAN (GENERAL)
Madera County,OFFICE TECHNICIAN (TYPING)
El Dorado County,PARK AIDE (SEASONAL)
San Diego County,PARK MAINTENANCE SUPERVISOR
Los Angeles County,"PAROLE AGENT III, ADULT PAROLE"
Tulare County,"PEACE OFFICER I, DEVELOPMENTAL CENTER"
Yolo County,PERSONNEL SPECIALIST
San Bernardino County,PERSONNEL SPECIALIST
Tuolumne County,PERSONNEL SPECIALIST
San Luis Obispo County,PERSONNEL SPECIALIST
Sacramento County,PERSONNEL SUPERVISOR I
Ventura County,PEST CONTROL TECHNICIAN (CORRECTIONAL FACILITY)
Riverside County,PHARMACIST I        (MAND)
Kern County,PHARMACY TECHNICIAN
Kings County,PSYCHIATRIC TECHNICIAN (SAFETY)
Monterey County,"RADIOLOGIC TECHNOLOGIST, CORRECTIONAL FACILITY"
Del Norte County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
Los Angeles County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Fresno County,"REHABILITATION THERAPIST, STATE FACILITIES (RECREATION-SAFETY)"
United States,RESEARCH DATA ANALYST I
Shasta County,RESIDENT CARE SPECIALIST
Sacramento County,"SENIOR CLINICAL LABORATORY TECHNOLOGIST, CORRECTIONAL FACILITY"
Alameda County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
Sonoma County,SENIOR LEGAL TYPIST
Los Angeles County,SENIOR PSYCHIATRIC TECHNICIAN (SAFETY)
Monterey County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Los Angeles County,SENIOR STRUCTURAL ENGINEER
Sacramento County,SENIOR STRUCTURAL ENGINEER
Sacramento County,SENIOR TAX COMPLIANCE REPRESENTATIVE (SPECIALIST)
Alameda County,"SERVICE ASSISTANT (MAINTENANCE), CALTRANS"
Contra Costa County,"SERVICE ASSISTANT (MAINTENANCE), CALTRANS"
United States,SPECIAL ASSISTANT INSPECTOR GENERAL
Sonoma County,SPECIAL INVESTIGATOR
Sacramento County,STAFF AIR POLLUTION SPECIALIST
Kern County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Kings County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Monterey County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
San Luis Obispo County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Solano County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
San Joaquin County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
San Bernardino County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Riverside County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Madera County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Sacramento County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Fresno County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
San Diego County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Tuolumne County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Amador County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Los Angeles County,"STAFF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Ventura County,STAFF SERVICES ANALYST
San Francisco County,STAFF SERVICES MANAGER I
United States,STAFF TOXICOLOGIST (SPECIALIST)
San Bernardino County,STATE PARK PEACE OFFICER SUPERVISOR (RANGER)
Ventura County,STATIONARY ENGINEER
Solano County,STATIONARY ENGINEER (CORRECTIONAL FACILITY)
Imperial County,STATIONARY ENGINEER (CORRECTIONAL FACILITY)
Riverside County,STUDENT ASSISTANT
Alameda County,STUDENT ASSISTANT
Kings County,SUPERVISING GROUNDSKEEPER II (CORRECTIONAL FACILITY)
Orange County,SUPERVISING PROGRAM TECHNICIAN II
San Luis Obispo County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
Del Norte County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
Los Angeles County,SUPPORT SERVICES ASSISTANT (GENERAL)
San Bernardino County,TEACHING ASSISTANT (CORRECTIONAL FACILITY)
Kings County,VOCATIONAL INSTRUCTOR (ELECTRICAL WORK) (CORRECTIONAL FACILITY)
Kings County,VOCATIONAL INSTRUCTOR (REFRIGERATION AND AIR CONDITIONING REPAIR) (CORRECTIONAL FACILITY)
Riverside County,AIR RESOURCES SUPERVISOR II
Napa County,AUTOMOTIVE EQUIPMENT OPERATOR I                        (MAND)
San Diego County,AUTOMOTIVE EQUIPMENT OPERATOR I                        (MAND)
Sacramento County,AUTOMOTIVE POOL ATTENDANT I
San Francisco County,BUSINESS SERVICE OFFICER II (SUPERVISOR)
Sacramento County,"BUSINESS TAXES SPECIALIST II, BOARD OF EQUALIZATION"
Riverside County,CALTRANS EQUIPMENT OPERATOR II
Monterey County,CARPENTER III (CORRECTIONAL FACILITY)
San Bernardino County,CHIEF ENGINEER II
Sacramento County,COMMUNITY COLLEGE PROGRAM ASSISTANT 
Amador County,"COMMUNITY RESOURCES MANAGER, DEPARTMENT OF CORRECTIONS"
San Bernardino County,CORRECTIONAL COUNSELOR II (SPECIALIST)
San Bernardino County,CORRECTIONAL FOOD MANAGER II DEPT OF CORRECTIONS
Monterey County,"CORRECTIONAL HEALTH SERVICES ADMINISTRATOR I, CORRECTIONAL FACILITY"
San Joaquin County,CORRECTIONAL SERGEANT
Alameda County,"COUNSELOR, SCHOOL FOR THE DEAF"
San Joaquin County,CUSTODIAN II
Kern County,"DENTIST, CORRECTIONAL FACILITY"
Fresno County,DEPUTY ATTORNEY GENERAL IV
Los Angeles County,DIRECT CONSTRUCTION SUPERVISOR I
Ventura County,EMPLOYMENT PROGRAM REPRESENTATIVE
Sacramento County,ENERGY COMMISSION SPECIALIST I (TECH EVALUATION AND DEVELOPMENT)
Los Angeles County,FINANCIAL INSTITUTIONS MANAGER
San Luis Obispo County,FOOD SERVICE TECHNICIAN II
Sacramento County,GRADUATE LEGAL ASSISTANT
Fresno County,GRADUATE LEGAL ASSISTANT
Riverside County,HEAVY TRUCK DRIVER
United States,INFORMATION TECHNOLOGY SPECIALIST II
United States,INVESTIGATIVE CERTIFIED PUBLIC ACCOUNTANT
Marin County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Fresno County,MAINTENANCE MECHANIC
Riverside County,"MAINTENANCE WORKER, DEPARTMENT OF THE CALIF. HIGHWAY PATROL"
San Bernardino County,"MAINTENANCE WORKER, DEPARTMENT OF THE CALIF. HIGHWAY PATROL"
Kern County,MATERIALS AND STORES SUPERVISOR I (CORRECTIONAL FACILITY)
Kern County,MATERIALS AND STORES SUPERVISOR II (CORRECTIONAL FACILITY)
Riverside County,MEDICAL ASSISTANT
San Bernardino County,MEDICAL ASSISTANT
Imperial County,MEDICAL ASSISTANT
Los Angeles County,MEDICAL ASSISTANT
Madera County,MEDICAL ASSISTANT
Orange County,MOTOR VEHICLE REPRESENTATIVE
Alameda County,"NIGHT ATTENDANT, SCHOOL FOR THE DEAF"
Solano County,NURSE INSTRUCTOR
Riverside County,OFFICE SERVICES SUPERVISOR I (TYPING)                    
San Diego County,OFFICE SERVICES SUPERVISOR II                          
San Francisco County,OFFICE TECHNICIAN (TYPING)
Santa Barbara County,OFFICE TECHNICIAN (TYPING)
Sacramento County,PAINTER I
Santa Cruz County,PARK MAINTENANCE SUPERVISOR
Kern County,PERSONNEL TECHNICIAN II (SPECIALIST)
San Diego County,PEST PREVENTION ASSISTANT I (VARIOUS PROJECTS)
Kings County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Riverside County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Sacramento County,PRINTING TRADES SPECIALIST TRAINEE (GENERAL)
Marin County,PSYCHIATRIC TECHNICIAN (SAFETY)
Solano County,PSYCHIATRIC TECHNICIAN INSTRUCTOR
Sacramento County,"PUBLIC SAFETY OPERATOR, CALIFORNIA HIGHWAY PATROL"
Fresno County,"REGISTERED DIETITIAN, CORRECTIONAL FACILITY"
San Luis Obispo County,RESEARCH DATA SPECIALIST II
United States,SENIOR ENVIRONMENTAL SCIENTIST (SUPERVISORY)
Sacramento County,SENIOR MECHANICAL ENGINEER
Butte County,SENIOR MOTOR VEHICLE TECHNICIAN
Riverside County,SENIOR PERSONNEL SPECIALIST
San Diego County,SENIOR TRANSPORTATION ELECTRICAL ENGINEER (SUPERVISOR)
United States,STAFF SERVICES MANAGER III
Kern County,"SUPERVISING PSYCHIATRIC SOCIAL WORKER I, CORRECTIONAL FACILTY"
Napa County,SUPERVISING REHABILITATION THERAPIST
San Francisco County,SUPERVISING TAX AUDITOR II BOARD OF EQUALIZATION
Sacramento County,"SUPERVISING TRANSPORTATION ENGINEER, CALTRANS"
Riverside County,"TEACHER, STATE HOSPITALS (SEVERELY HANDICAPPED, DEVELOPMENTALLY DISABLED)"
Riverside County,TEACHING ASSISTANT (CORRECTIONAL FACILITY)
Riverside County,"TELECOMMUNICATIONS FACILITIES TECHNICIAN II, CHP"
San Bernardino County,TRANSPORTATION ENGINEERING TECHNICIAN
Sacramento County,VETERINARIAN SPECIALIST (GENERAL)
Riverside County,VOCATIONAL INSTRUCTOR (COMPUTER AND RELATED TECHNOLOGIES) (CORRECTIONAL FACILITY)
Monterey County,VOCATIONAL INSTRUCTOR (REFRIGERATION AND AIR CONDITIONING REPAIR) (CORRECTIONAL FACILITY)
San Diego County,WATER RESOURCE CONTROL ENGINEER
United States,ACCOUNTING ADMINISTRATOR I (SPECIALIST)
Sacramento County,AIR RESOURCES SUPERVISOR II
United States,"ASSOCIATE TAX AUDITOR, BOARD OF EQUALIZATION"
Kern County,CALTRANS ELECTRICIAN II
Calaveras County,CALTRANS HIGHWAY MAINTENANCE WORKER
Kings County,CALTRANS LANDSCAPE MAINTENANCE WORKER
Riverside County,CALTRANS MAINTENANCE SUPERVISOR
Monterey County,"CHIEF PSYCHOLOGIST, CORRECTIONAL FACILITY"
Del Norte County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Kings County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Riverside County,CODES AND STANDARDS ADMINISTRATOR I (NON-PEACE OFFICER)
Mariposa County,COMMUNICATIONS SUPERVISOR
Monterey County,CONSERVATIONIST I
San Diego County,CORRECTIONAL LIEUTENANT
Riverside County,CRIME ANALYST III
Marin County,CUSTODIAN I
Solano County,CUSTODIAN II
Yolo County,FINANCIAL ACCOUNTANT III
Tulare County,FIRE FIGHTER
San Francisco County,FISCAL SUPERVISOR
Sacramento County,FISCAL SUPERVISOR
San Bernardino County,FISH AND WILDLIFE TECHNICIAN
Kings County,FOOD ADMINISTRATOR I (CORRECTIONAL FACILITY)
San Diego County,FOOD SERVICE TECHNICIAN I
Yolo County,INFORMATION OFFICER I (SPECIALIST)
Solano County,INFORMATION TECHNOLOGY SPECIALIST I
Madera County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
Amador County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
Los Angeles County,LEAD GROUNDSKEEPER I (CORRECTIONAL FACILITY)
Kern County,LIBRARIAN (CORRECTIONAL FACILITY)
Fresno County,"LICENSING-REGISTRATION EXAMINER, DEPARTMENT OF MOTOR VEHICLES"
Mendocino County,"MAINTENANCE WORKER, DEPARTMENT OF THE CALIF. HIGHWAY PATROL"
Yuba County,MATERIALS AND STORES SPECIALIST
San Joaquin County,MATERIALS AND STORES SUPERVISOR II (CORRECTIONAL FACILITY)
San Francisco County,MOTOR VEHICLE REPRESENTATIVE
San Joaquin County,"NURSE INSTRUCTOR, CORRECTIONAL FACILITY"
Fresno County,PEST PREVENTION ASSISTANT II (VARIOUS PROJECTS)
Los Angeles County,PETROLEUM DRILLING ENGINEER
Madera County,PHARMACIST I        (MAND)
Solano County,PHARMACY TECHNICIAN
Riverside County,PUBLIC SAFETY DISPATCH SUPERVISOR I CALIFORNIA HIGHWAY PATROL
San Diego County,"PUBLIC SAFETY DISPATCHER, CALIFORNIA HIGHWAY PATROL"
Mendocino County,"PUBLIC SAFETY DISPATCHER, CALIFORNIA HIGHWAY PATROL"
Riverside County,RESEARCH DATA ANALYST II
Fresno County,RIGHT OF WAY AGENT
Imperial County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
Inyo County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
Mono County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
Los Angeles County,"SENIOR LANDSCAPE ARCHITECT, CALTRANS"
San Diego County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Napa County,STAFF SERVICES ANALYST
San Diego County,STATIONARY ENGINEER
Santa Clara County,STUDENT ASSISTANT
Los Angeles County,STUDENT ASSISTANT
Sacramento County,Supervising Analyst
San Francisco County,Supervising Analyst
United States,"SUPERVISING FRAUD INVESTIGATOR I, DEPARTMENT OF INSURANCE"
Sacramento County,SUPERVISING HAZARDOUS SUBSTANCES ENGINEER I
San Bernardino County,SUPERVISING PSYCHIATRIC SOCIAL WORKER I
Fresno County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
Sacramento County,SUPERVISING TRANSPORTATION PLANNER
Sacramento County,SUPPORT SERVICES ASSISTANT (INTERPRETER)
United States,"TAX AUDITOR, BOARD OF EQUALIZATION"
Del Norte County,VOCATIONAL INSTRUCTOR (OFFICE SERVICES AND RELATED TECHNICAL) (CORRECTIONAL FACILITY)
Fresno County,WATER RESOURCE CONTROL ENGINEER
Alameda County,WATER RESOURCE CONTROL ENGINEER
United States,WORKERS' COMPENSATION CLAIMS ADJUSTER
United States,WORKERS' COMPENSATION INSURANCE TECHNICIAN
Fresno County,DIETETICS ASSISTANT DIRECTOR
Napa County,MAINTENANCE MECHANIC
Fresno County,"OCCUPATIONAL THERAPIST, DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Fresno County,"PODIATRIST, DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Alameda County,ADMINISTRATIVE LAW JUDGE
San Joaquin County,ASSOCIATE ENVIRONMENTAL PLANNER (ARCHEOLOGY)
San Joaquin County,ASSOCIATE ENVIRONMENTAL PLANNER (ARCHITECTURAL HISTORY)
San Bernardino County,CATHOLIC CHAPLAIN
Madera County,"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
San Bernardino County,CLINICAL SOCIAL WORKER (HEALTH FACILITY)
San Francisco County,DEPUTY LABOR COMMISSIONER I
Santa Clara County,DEPUTY LABOR COMMISSIONER I
San Luis Obispo County,DIETETICS ASSISTANT DIRECTOR
San Luis Obispo County,FOOD SERVICE TECHNICIAN I
Orange County,INFORMATION TECHNOLOGY ASSOCIATE
Yolo County,INFORMATION TECHNOLOGY MANAGER II
Alameda County,"MAINTENANCE WORKER, DEPARTMENT OF THE CALIF. HIGHWAY PATROL"
United States,"MEDICAL CONSULTANT II, DEPARTMENT OF HEALTH SERVICES"
Imperial County,"NURSE PRACTITIONER, CORRECTIONAL FACILITY"
Los Angeles County,"NURSE PRACTITIONER, CORRECTIONAL FACILITY"
Butte County,OFFICE TECHNICIAN (TYPING)
San Diego County,"OPTOMETRIST, CORRECTIONAL FACILITY"
San Bernardino County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Madera County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Fresno County,PHYSICAL THERAPY ASSISTANT
Solano County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Monterey County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Madera County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Los Angeles County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Amador County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Kern County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Imperial County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Riverside County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Kings County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY (INTERNAL MED/FAMILY PRACTICE)"
Los Angeles County,"PHYSICIAN ASSISTANT, CORRECTIONAL FACILITY"
United States,"PROGRAM SPECIALIST II, FRANCHISE TAX BOARD"
San Bernardino County,REGISTERED DIETITIAN
San Bernardino County,REGISTERED NURSE                                       (MAND)
Sacramento County,RESEARCH SCIENTIST SUPERVISOR I (EPIDEMIOLOGY/BIOSTATISTICS)
Sacramento County,SENIOR MANAGEMENT AUDITOR
Yolo County,SENIOR PERSONNEL SPECIALIST
San Luis Obispo County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SUPERVISOR)"
San Luis Obispo County,STAFF SERVICES ANALYST
Sacramento County,"TAX PROGRAM TECHNICIAN II, FRANCHISE TAX BOARD"
Los Angeles County,WORKERS COMPENSATION COMPLIANCE OFFICER
Sacramento County,AGRICULTURAL BIOLOGICAL TECHNICIAN
San Diego County,BUSINESS TAXES COMPLIANCE SPECIALIST
San Luis Obispo County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Inyo County,CUSTODIAN I
Sacramento County,HEALTH PROGRAM MANAGER I
Tuolumne County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Imperial County,MECHANICAL AND TECHNICAL OCCUPATIONAL TRAINEE
San Luis Obispo County,"PHARMACIST I, DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Los Angeles County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Amador County,PSYCHIATRIC TECHNICIAN (SAFETY)
San Bernardino County,"PUBLIC SAFETY DISPATCHER, CALIFORNIA HIGHWAY PATROL"
San Francisco County,RESEARCH DATA MANAGER
Sacramento County,RESEARCH DATA MANAGER
Sacramento County,SENIOR ENVIRONMENTAL PLANNER
Los Angeles County,SENIOR LEGAL TYPIST
Kings County,"SENIOR PSYCHIATRIST (SUPERVISOR), CORRECTIONAL AND REHABILITATIVE SERVICES (SAFETY)"
Santa Clara County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Humboldt County,STUDENT ASSISTANT
Madera County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
Santa Barbara County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
San Francisco County,ATTORNEY
Napa County,"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Fresno County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Marin County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Tuolumne County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Sacramento County,COMMUNITY COLLEGE ADMINISTRATOR I
San Luis Obispo County,"DISTRICT SUPERINTENDENT II, DEPARTMENT OF PARKS AND RECREATION SERIES"
Shasta County,ENGINEERING GEOLOGIST
Fresno County,ENVIRONMENTAL PROGRAM MANAGER I (MANAGERIAL)
Ventura County,FISH AND WILDLIFE SCIENTIFIC AID
San Luis Obispo County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Fresno County,"PHYSICAL THERAPIST I, DEPARTMENTS OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Sacramento County,"PRINCIPAL TRANSPORTATION ENGINEER, CALTRANS"
United States,PUBLIC HEALTH MEDICAL OFFICER II
United States,RESEARCH SCIENTIST III (EPIDEMIOLOGY/BIOSTATISTICS)
Riverside County,SCIENTIFIC AID
Fresno County,SENIOR PSYCHOLOGIST (HEALTH FACILITY) (SUPERVISOR)
Madera County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Contra Costa County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Los Angeles County,STAFF PSYCHIATRIST (SAFETY)
Shasta County,SUPERVISING REGISTERED NURSE
Tuolumne County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
San Diego County,"SUPERVISING TRANSPORTATION ENGINEER, CALTRANS"
Marin County,TEACHER (HIGH SCHOOL-GENERAL EDUCATION) (CORRECTIONAL FACILITY)
Butte County,TRANSPORTATION SURVEYOR (CALTRANS)
Yuba County,TRANSPORTATION SURVEYOR PARTY CHIEF (CALTRANS)
Riverside County,VOCATIONAL INSTRUCTOR (BUILDING MAINTENANCE) (CORRECTIONAL FACILITY)
Orange County,AGRICULTURAL TECHNICIAN II (SEASONAL)
United States,ASSOCIATE ARCHITECT
Kern County,ASSOCIATE HAZARDOUS MATERIALS SPECIALIST
Shasta County,BUILDING MAINTENANCE WORKER
Mendocino County,CALTRANS ELECTRICIAN II
United States,DISABILITY INSURANCE PROGRAM REPRESENTATIVE
United States,INFORMATION OFFICER II
Ventura County,LEAD GROUNDSKEEPER I (CORRECTIONAL FACILITY)
Kings County,"NURSE INSTRUCTOR, CORRECTIONAL FACILITY"
Monterey County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Napa County,REGISTERED  DIETITIAN (SAFETY)
Fresno County,"SENIOR CLINICAL LABORATORY TECHNOLOGIST, CORRECTIONAL FACILITY"
San Joaquin County,SENIOR RIGHT OF WAY AGENT
Contra Costa County,STAFF SERVICES MANAGER II (SUPERVISORY)
Sacramento County,"STATE FAIR WORKER, CASUAL EMPLOYMENT (VARIOUS)"
United States,ASSOCIATE MANAGEMENT AUDITOR
Los Angeles County,"AUTOMOTIVE EQUIPMENT OPERATOR I, DEPARTMENT OF MENTAL HEALTH AND DEVELOPMENTAL SERVICES"
Amador County,"DENTAL ASSISTANT, CORRECTIONAL FACILITY"
San Diego County,"DISTRICT SUPERINTENDENT I, DEPARTMENT OF PARKS AND RECREATION SERIES"
United States,FISH AND WILDLIFE INTERPRETER II
Tuolumne County,MEDICAL ASSISTANT
Riverside County,OFFICE TECHNICIAN (TYPING)
San Luis Obispo County,PARK INTERPRETIVE SPECIALIST (SEASONAL)
Tuolumne County,PHARMACY TECHNICIAN
Sacramento County,PRINCIPAL HYDROELECTRIC POWER UTILITY ENGINEER
Mendocino County,PUBLIC SAFETY DISPATCH SUPERVISOR I CALIFORNIA HIGHWAY PATROL
Imperial County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
Amador County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Orange County,RESEARCH DATA SPECIALIST I
San Diego County,SENIOR PARK AIDE (SEASONAL)
El Dorado County,SENIOR PARK AIDE (SEASONAL)
United States,STAFF MANAGEMENT AUDITOR
United States,STRUCTURAL PEST CONTROL BOARD SPECIALIST
Riverside County,SUPERVISING CASE RECORDS TECHNICIAN
Fresno County,SUPPORT SERVICES ASSISTANT (INTERPRETER)
Kern County,TRANSPORTATION ENGINEERING TECHNICIAN
San Luis Obispo County,PSYCHOLOGIST (HEALTH FACILITY - CLINICAL - SAFETY)
Sacramento County,AGRICULTURAL TECHNICIAN I (SEASONAL)
San Luis Obispo County,GUIDE TRAINEE HISTORICAL MONUMENT
Fresno County,LICENSED VOCATIONAL NURSE (SAFETY)
Santa Clara County,"MEDICAL CONSULTANT (ENFORCEMENT), MEDICAL BOARD OF CALIFORNIA"
San Luis Obispo County,NATIVE AMERICAN SPIRITUAL LEADER
Sacramento County,"NURSE EVALUATOR II, HEALTH SERVICES"
Yolo County,OFFICE ASSISTANT (TYPING)
Kings County,PEST CONTROL TECHNICIAN (CORRECTIONAL FACILITY)
Imperial County,PHARMACIST I        (MAND)
San Luis Obispo County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Los Angeles County,PSYCHOLOGIST (HEALTH FACILITY - CLINICAL - SAFETY)
San Luis Obispo County,"PSYCHOLOGIST - CLINICAL, CORRECTIONAL FACILITY"
Fresno County,REGISTERED DIETITIAN
Fresno County,RESIDENT CARE SPECIALIST
San Luis Obispo County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Napa County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Madera County,"SUPERVISING REGISTERED NURSE III, CORRECTIONAL FACILITY"
Riverside County,WATER AND SEWAGE PLANT SUPERVISOR (CORRECTIONAL FACILITY)
Yolo County,ACCOUNTING ANALYST
Sacramento County,ASSISTANT AGRICULTURAL ECONOMIST
Alameda County,ATTORNEY
San Mateo County,AUTOMOTIVE TECHNICIAN II
Riverside County,BEHAVIOR SPECIALIST II
San Bernardino County,CHIEF PHYSICIAN AND SURGEON
Madera County,"CHIEF PSYCHOLOGIST, CORRECTIONAL FACILITY"
Imperial County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Sacramento County,FINANCIAL ACCOUNTANT IV
Imperial County,PSYCHIATRIC TECHNICIAN (SAFETY)
Fresno County,REGISTERED NURSE (SAFETY)
Los Angeles County,REGISTERED NURSE (SAFETY)
Monterey County,"REHABILITATION THERAPIST, STATE FACILITIES (ART-SAFETY)"
Monterey County,"REHABILITATION THERAPIST, STATE FACILITIES (MUSIC-SAFETY)"
Monterey County,"REHABILITATION THERAPIST, STATE FACILITIES (OCCUPATIONAL-SAFETY)"
Monterey County,"REHABILITATION THERAPIST, STATE FACILITIES (RECREATION-SAFETY)"
Sacramento County,RESEARCH SCIENTIST II (SOCIAL/BEHAVIORAL SCIENCES)
Sacramento County,RESEARCH SCIENTIST IV (EPIDEMIOLOGY/BIOSTATISTICS)
San Bernardino County,SECURITY GUARD
Amador County,"SENIOR PSYCHIATRIST (SUPERVISOR), CORRECTIONAL AND REHABILITATIVE SERVICES (SAFETY)"
Madera County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SUPERVISOR)"
Fresno County,SOCIAL WORK ASSOCIATE (SAFETY)
Sacramento County,"STAFF PROGRAM AUDITOR, CALPERS"
Orange County,STAFF PSYCHIATRIST                                     (MAND)
Los Angeles County,STAFF SERVICES MANAGEMENT AUDITOR
Santa Barbara County,TRANSPORTATION ENGINEER (ELECTRICAL)
San Joaquin County,TRANSPORTATION SURVEYOR (CALTRANS)
